name,stra.13320,stra.13321,stra.13463,stra.13563,stra.13682,stra.13695,stra.13926,stra.14642
191,7.87E-05,6.92E-05,0.000650538,0.000592027,0.0011596,0.000551759,0.000180531,7.19E-06
192,7.76E-05,6.84E-05,0.000649768,0.000592252,0.00116014,0.000554616,0.000181997,7.03E-06
193,7.65E-05,6.76E-05,0.000648969,0.000592445,0.00116061,0.000557453,0.000183463,6.87E-06
194,7.55E-05,6.69E-05,0.000648143,0.000592607,0.00116103,0.000560271,0.000184928,6.71E-06
195,7.45E-05,6.61E-05,0.000647289,0.000592739,0.00116139,0.000563068,0.000186393,6.56E-06
196,7.34E-05,6.53E-05,0.000646409,0.000592842,0.00116169,0.000565846,0.000187858,6.41E-06
197,7.24E-05,6.46E-05,0.000645502,0.000592915,0.00116193,0.000568604,0.000189322,6.27E-06
198,7.14E-05,6.38E-05,0.000644569,0.000592958,0.00116212,0.000571342,0.000190785,6.13E-06
199,7.05E-05,6.31E-05,0.000643611,0.000592973,0.00116225,0.000574059,0.000192248,5.99E-06
200,6.95E-05,6.24E-05,0.000642628,0.00059296,0.00116232,0.000576757,0.000193711,5.86E-06
201,6.85E-05,6.16E-05,0.000641621,0.000592919,0.00116233,0.000579436,0.000195173,5.73E-06
202,6.76E-05,6.09E-05,0.00064059,0.000592851,0.0011623,0.000582094,0.000196634,5.61E-06
203,6.67E-05,6.02E-05,0.000639536,0.000592755,0.0011622,0.000584733,0.000198094,5.49E-06
204,6.57E-05,5.95E-05,0.000638459,0.000592632,0.00116206,0.000587351,0.000199554,5.37E-06
205,6.48E-05,5.88E-05,0.00063736,0.000592483,0.00116186,0.00058995,0.000201013,5.25E-06
206,6.39E-05,5.81E-05,0.000636239,0.000592308,0.00116161,0.000592529,0.000202471,5.14E-06
207,6.30E-05,5.75E-05,0.000635096,0.000592107,0.00116131,0.000595089,0.000203928,5.03E-06
208,6.22E-05,5.68E-05,0.000633932,0.000591881,0.00116096,0.000597628,0.000205384,4.92E-06
209,6.13E-05,5.61E-05,0.000632748,0.00059163,0.00116056,0.000600148,0.000206839,4.82E-06
210,6.05E-05,5.55E-05,0.000631544,0.000591354,0.00116012,0.000602648,0.000208293,4.72E-06
211,5.96E-05,5.48E-05,0.00063032,0.000591054,0.00115962,0.000605129,0.000209746,4.62E-06
212,5.88E-05,5.42E-05,0.000629077,0.00059073,0.00115908,0.00060759,0.000211199,4.52E-06
213,5.80E-05,5.35E-05,0.000627816,0.000590383,0.00115848,0.000610031,0.000212649,4.43E-06
214,5.72E-05,5.29E-05,0.000626535,0.000590012,0.00115785,0.000612453,0.000214099,4.34E-06
215,5.64E-05,5.23E-05,0.000625237,0.000589618,0.00115716,0.000614856,0.000215548,4.25E-06
216,5.56E-05,5.16E-05,0.000623922,0.000589202,0.00115643,0.000617238,0.000216995,4.16E-06
217,5.48E-05,5.10E-05,0.000622589,0.000588763,0.00115566,0.000619602,0.000218441,4.08E-06
218,5.40E-05,5.04E-05,0.000621239,0.000588303,0.00115484,0.000621946,0.000219886,4.00E-06
219,5.33E-05,4.98E-05,0.000619873,0.000587821,0.00115399,0.00062427,0.000221329,3.92E-06
220,5.25E-05,4.92E-05,0.000618491,0.000587317,0.00115308,0.000626575,0.000222771,3.84E-06
221,5.18E-05,4.87E-05,0.000617093,0.000586793,0.00115214,0.000628861,0.000224212,3.76E-06
222,5.11E-05,4.81E-05,0.00061568,0.000586248,0.00115115,0.000631128,0.000225651,3.69E-06
223,5.04E-05,4.75E-05,0.000614252,0.000585682,0.00115013,0.000633375,0.000227088,3.61E-06
224,4.97E-05,4.69E-05,0.000612809,0.000585096,0.00114906,0.000635603,0.000228524,3.54E-06
225,4.90E-05,4.64E-05,0.000611353,0.000584491,0.00114796,0.000637812,0.000229959,3.47E-06
226,4.83E-05,4.58E-05,0.000609882,0.000583866,0.00114681,0.000640002,0.000231392,3.41E-06
227,4.76E-05,4.53E-05,0.000608398,0.000583223,0.00114563,0.000642172,0.000232823,3.34E-06
228,4.69E-05,4.47E-05,0.000606901,0.00058256,0.00114441,0.000644324,0.000234252,3.28E-06
229,4.63E-05,4.42E-05,0.000605391,0.000581878,0.00114315,0.000646457,0.00023568,3.21E-06
230,4.56E-05,4.37E-05,0.000603868,0.000581179,0.00114185,0.00064857,0.000237107,3.15E-06
231,4.50E-05,4.31E-05,0.000602333,0.000580461,0.00114052,0.000650665,0.000238531,3.09E-06
232,4.43E-05,4.26E-05,0.000600786,0.000579726,0.00113916,0.000652741,0.000239954,3.03E-06
233,4.37E-05,4.21E-05,0.000599228,0.000578973,0.00113775,0.000654798,0.000241374,2.97E-06
234,4.31E-05,4.16E-05,0.000597658,0.000578203,0.00113632,0.000656837,0.000242793,2.92E-06
235,4.25E-05,4.11E-05,0.000596077,0.000577417,0.00113485,0.000658857,0.00024421,2.86E-06
236,4.19E-05,4.06E-05,0.000594486,0.000576613,0.00113334,0.000660858,0.000245625,2.81E-06
237,4.13E-05,4.01E-05,0.000592884,0.000575794,0.00113181,0.00066284,0.000247038,2.76E-06
238,4.07E-05,3.96E-05,0.000591273,0.000574958,0.00113024,0.000664804,0.00024845,2.71E-06
239,4.02E-05,3.92E-05,0.000589651,0.000574106,0.00112864,0.000666749,0.000249859,2.66E-06
240,3.96E-05,3.87E-05,0.00058802,0.000573239,0.00112701,0.000668676,0.000251266,2.61E-06
241,3.90E-05,3.82E-05,0.000586379,0.000572357,0.00112534,0.000670585,0.000252671,2.56E-06
242,3.85E-05,3.78E-05,0.00058473,0.000571459,0.00112365,0.000672475,0.000254074,2.52E-06
243,3.79E-05,3.73E-05,0.000583072,0.000570547,0.00112193,0.000674347,0.000255475,2.47E-06
244,3.74E-05,3.69E-05,0.000581405,0.000569621,0.00112017,0.0006762,0.000256873,2.43E-06
245,3.69E-05,3.64E-05,0.00057973,0.00056868,0.00111839,0.000678036,0.00025827,2.38E-06
246,3.64E-05,3.60E-05,0.000578048,0.000567725,0.00111658,0.000679853,0.000259664,2.34E-06
247,3.58E-05,3.55E-05,0.000576357,0.000566756,0.00111474,0.000681652,0.000261056,2.30E-06
248,3.53E-05,3.51E-05,0.000574659,0.000565773,0.00111288,0.000683434,0.000262446,2.26E-06
249,3.48E-05,3.47E-05,0.000572954,0.000564778,0.00111099,0.000685197,0.000263833,2.22E-06
250,3.43E-05,3.43E-05,0.000571242,0.000563769,0.00110907,0.000686942,0.000265218,2.18E-06
251,3.39E-05,3.38E-05,0.000569523,0.000562747,0.00110712,0.00068867,0.000266601,2.14E-06
252,3.34E-05,3.34E-05,0.000567798,0.000561713,0.00110515,0.00069038,0.000267981,2.10E-06
253,3.29E-05,3.30E-05,0.000566066,0.000560667,0.00110316,0.000692072,0.000269359,2.07E-06
254,3.24E-05,3.26E-05,0.000564328,0.000559608,0.00110114,0.000693746,0.000270735,2.03E-06
255,3.20E-05,3.22E-05,0.000562585,0.000558537,0.00109909,0.000695403,0.000272108,2.00E-06
