name,stra.14151,stra.14152,stra.14153,stra.14269,stra.14392,stra.14394,stra.14511,stra.14517,stra.14520,stra.14642,stra.13321
584400,1.29E-22,3.24E-20,4.14E-13,2.41E-41,0.0647322,0.272065,0.0254904,0.0141252,0.104434,0.431191,1.5E-323
584500,1.21E-22,3.04E-20,3.89E-13,2.34E-41,0.0647441,0.27232,0.0254669,0.0141458,0.104442,0.43024,1.5E-323
584600,1.14E-22,2.86E-20,3.67E-13,2.27E-41,0.0648639,0.273108,0.025472,0.0141908,0.104641,0.429175,1.5E-323
584700,1.07E-22,2.69E-20,3.45E-13,2.20E-41,0.0645836,0.272011,0.0252041,0.0140626,0.103487,0.4323,1.5E-323
584800,9.99E-23,2.52E-20,3.24E-13,2.12E-41,0.0638864,0.269105,0.0247062,0.0138025,0.101367,0.438368,1.5E-323
584900,9.39E-23,2.37E-20,3.05E-13,2.05E-41,0.0638796,0.26924,0.0245618,0.013748,0.10078,0.440832,1.5E-323
585000,8.80E-23,2.22E-20,2.86E-13,1.99E-41,0.063727,0.268553,0.0243848,0.0136526,0.0998559,0.444054,1.5E-323
585100,8.22E-23,2.08E-20,2.68E-13,1.92E-41,0.0635478,0.267895,0.0242353,0.0135887,0.0992122,0.445308,1.5E-323
585200,7.67E-23,1.94E-20,2.51E-13,1.86E-41,0.0631879,0.266454,0.0240036,0.0134751,0.0982074,0.449025,1.5E-323
585300,7.17E-23,1.82E-20,2.35E-13,1.80E-41,0.0634095,0.267697,0.0241005,0.0135724,0.098794,0.446711,1.5E-323
585400,6.70E-23,1.70E-20,2.20E-13,1.74E-41,0.0632229,0.26704,0.0239667,0.0135221,0.0982556,0.448442,1.5E-323
585500,6.25E-23,1.59E-20,2.06E-13,1.68E-41,0.0630905,0.266642,0.0238716,0.0134954,0.0979033,0.448789,1.5E-323
585600,5.84E-23,1.48E-20,1.93E-13,1.63E-41,0.0629856,0.265718,0.0238224,0.0133802,0.0967207,0.45219,1.5E-323
585700,5.45E-23,1.38E-20,1.80E-13,1.57E-41,0.0629286,0.265538,0.0238172,0.0133835,0.0965562,0.454379,1.5E-323
585800,5.06E-23,1.29E-20,1.68E-13,1.51E-41,0.0625801,0.264155,0.0237113,0.0133426,0.0961011,0.456654,1.5E-323
585900,4.71E-23,1.20E-20,1.56E-13,1.46E-41,0.06261,0.264531,0.0238123,0.0134386,0.0966787,0.454353,1.5E-323
586000,4.37E-23,1.11E-20,1.46E-13,1.41E-41,0.0624426,0.263982,0.0238325,0.0134786,0.0968381,0.451514,1.5E-323
586100,4.08E-23,1.04E-20,1.36E-13,1.36E-41,0.0624292,0.263961,0.0238995,0.0135373,0.0970969,0.454253,1.5E-323
586200,3.79E-23,9.67E-21,1.27E-13,1.31E-41,0.0623413,0.263669,0.0239578,0.0135931,0.0973541,0.454788,1.5E-323
586300,3.52E-23,9.00E-21,1.18E-13,1.27E-41,0.062249,0.263313,0.0240238,0.01365,0.0976011,0.454382,1.5E-323
586400,3.28E-23,8.39E-21,1.10E-13,1.22E-41,0.062236,0.263683,0.0240722,0.0137576,0.0983021,0.45087,1.5E-323
586500,3.06E-23,7.83E-21,1.03E-13,1.18E-41,0.0621166,0.263463,0.0240692,0.0138114,0.0985939,0.450983,1.5E-323
586600,2.85E-23,7.30E-21,9.62E-14,1.13E-41,0.0621406,0.263817,0.0241862,0.0139242,0.0992989,0.450663,1.5E-323
586700,2.65E-23,6.82E-21,9.00E-14,1.10E-41,0.0622325,0.264565,0.0243393,0.0140697,0.100261,0.448689,1.5E-323
586800,2.48E-23,6.37E-21,8.42E-14,1.06E-41,0.0623331,0.265298,0.024499,0.0142156,0.101204,0.446108,1.5E-323
586900,2.31E-23,5.95E-21,7.88E-14,1.02E-41,0.0624778,0.266227,0.02469,0.0143805,0.102285,0.443326,1.5E-323
587000,2.15E-23,5.55E-21,7.36E-14,9.87E-42,0.0624254,0.266251,0.02479,0.0144829,0.102908,0.440361,1.5E-323
587100,2.02E-23,5.20E-21,6.92E-14,9.56E-42,0.0626511,0.267509,0.0249774,0.0146437,0.103943,0.438886,1.5E-323
